City,AQItotal,PM2.5_AQI,PM10_AQI,NO2_AQI,SO2_AQI,CO_AQI,O3_AQI,Date
HaNoi,98,98,44,1,6,6,4,3/1/2025
HaNoi,64,64,50,1,6,9,6,3/2/2025
HaNoi,72,72,52,1,6,7,6,3/3/2025
HaNoi,75,75,53,1,6,7,7,3/4/2025
HaNoi,79,79,39,1,5,5,7,3/5/2025
HaNoi,64,64,25,2,5,3,9,3/6/2025
HaNoi,42,42,40,6,5,3,8,3/7/2025
HaNoi,167,167,63,10,6,8,7,3/10/2025
HaNoi,129,129,44,14,6,8,4,3/11/2025
HaNoi,69,69,38,15,6,7,5,3/12/2025
HaNoi,54,54,48,12,6,6,7,3/13/2025
HaNoi,64,64,50,9,6,7,7,3/14/2025
HaNoi,67,67,28,14,6,4,11,3/15/2025
HaNoi,37,37,30,10,6,4,4,3/16/2025
HaNoi,50,50,36,4,6,5,12,3/17/2025
HaNoi,95,95,42,1,5,4,19,3/18/2025
HaNoi,84,84,37,2,5,5,24,3/19/2025
HaNoi,83,75,83,5,6,8,27,3/20/2025
HaNoi,148,148,81,9,6,7,29,3/21/2025
HaNoi,121,121,81,9,6,7,29,3/22/2025
HaNoi,78,78,26,1,5,4,7,2/1/2025
HaNoi,68,68,15,1,5,4,9,2/2/2025
HaNoi,41,41,32,1,5,5,14,2/3/2025
HaNoi,67,67,51,1,5,8,11,2/4/2025
HaNoi,108,108,63,1,5,6,4,2/5/2025
HaNoi,127,127,11,1,5,4,6,2/6/2025
HaNoi,27,27,17,2,5,4,10,2/7/2025
HaNoi,43,38,43,1,5,4,18,2/8/2025
HaNoi,90,90,74,1,5,8,9,2/9/2025
HaNoi,156,156,91,1,5,8,15,2/10/2025
HaNoi,182,182,81,1,5,7,9,2/11/2025
HaNoi,160,160,69,1,5,8,7,2/12/2025
HaNoi,146,146,59,1,5,9,6,2/13/2025
HaNoi,133,133,48,1,5,10,6,2/14/2025
HaNoi,119,119,19,1,5,4,4,2/15/2025
HaNoi,47,47,43,1,6,6,3,2/16/2025
HaNoi,89,89,28,1,5,5,2,2/17/2025
HaNoi,53,53,46,1,5,7,2,2/18/2025
HaNoi,87,87,78,1,6,12,2,2/19/2025
HaNoi,152,152,56,1,6,7,2,2/20/2025
HaNoi,105,105,65,1,6,8,2,2/21/2025
HaNoi,134,134,36,1,5,4,4,2/22/2025
HaNoi,61,61,23,2,5,4,6,2/23/2025
HaNoi,40,40,39,2,5,6,2,2/24/2025
HaNoi,86,86,40,1,5,6,4,2/25/2025
HaNoi,87,87,73,1,6,9,4,2/26/2025
HaNoi,166,166,58,1,6,7,5,2/27/2025
HaNoi,121,121,58,1,5,7,4,2/28/2025
HaNoi,209,209,119,1,5,10,30,1/1/2025
HaNoi,217,217,94,1,6,12,27,1/2/2025
HaNoi,183,183,79,1,6,9,16,1/3/2025
HaNoi,169,169,89,1,5,10,32,1/4/2025
HaNoi,174,174,92,1,6,13,26,1/5/2025
